,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
0,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,shawshank redemption drama two imprisoned men bond number years finding solace eventual redemption acts common decency frank darabont tim robbins morgan freeman bob gunton william sadler
1,The Godfather,"Crime, Drama",An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,godfather crime drama organized crime dynasty aging patriarch transfers control clandestine empire reluctant son francis ford coppola marlon brando al pacino james caan diane keaton
2,The Dark Knight,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,dark knight action crime drama menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice christopher nolan christian bale heath ledger aaron eckhart michael caine
3,The Godfather: Part II,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,godfather part ii crime drama early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate francis ford coppola al pacino robert de niro robert duvall diane keaton
4,12 Angry Men,"Crime, Drama",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,12 angry men crime drama jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence sidney lumet henry fonda lee j cobb martin balsam john fiedler
5,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,lord rings return king action adventure drama gandalf aragorn lead world men sauron army draw gaze frodo sam approach mount doom one ring peter jackson elijah wood viggo mortensen ian mckellen orlando bloom
6,Pulp Fiction,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,pulp fiction crime drama lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption quentin tarantino john travolta uma thurman samuel l jackson bruce willis
7,Schindler's List,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,schindler list biography drama history german occupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall
8,Inception,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,inception action adventure sci fi thief steals corporate secrets use dream sharing technology given inverse task planting idea mind c e christopher nolan leonardo dicaprio joseph gordon levitt elliot page ken watanabe
9,Fight Club,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,fight club drama insomniac office worker devil may care soapmaker form underground fight club evolves something much much david fincher brad pitt edward norton meat loaf zach grenier
10,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,lord rings fellowship ring action adventure drama meek hobbit shire eight companions set journey destroy powerful one ring save middle earth dark lord sauron peter jackson elijah wood ian mckellen orlando bloom sean bean
11,Forrest Gump,"Drama, Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,forrest gump drama romance presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart robert zemeckis tom hanks robin wright gary sinise sally field
12,"Il buono, il brutto, il cattivo",Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,il buono il brutto il cattivo western bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery sergio leone clint eastwood eli wallach lee van cleef aldo giuffr
13,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,lord rings two towers action adventure drama frodo sam edge closer mordor help shifty gollum divided fellowship makes stand sauron new ally saruman hordes isengard peter jackson elijah wood ian mckellen viggo mortensen orlando bloom
14,The Matrix,"Action, Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,matrix action sci fi beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truth life knows elaborate deception evil cyber intelligence lana wachowski lilly wachowski keanu reeves laurence fishburne carrie anne moss
15,Goodfellas,"Biography, Crime, Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,goodfellas biography crime drama story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italian american crime syndicate martin scorsese robert de niro ray liotta joe pesci lorraine bracco
16,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,star wars episode v empire strikes back action adventure fantasy rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy irvin kershner mark hamill harrison ford carrie fisher billy dee williams
17,One Flew Over the Cuckoo's Nest,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,one flew cuckoo nest drama criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients milos forman jack nicholson louise fletcher michael berryman peter brocco
18,Hamilton,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,hamilton biography drama history real life one america foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast thomas kail lin manuel miranda phillipa soo leslie odom jr ren e elise goldsberry
19,Gisaengchung,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,gisaengchung comedy drama thriller greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan bong joon ho kang ho song lee sun kyun cho yeo jeong choi woo sik
20,Soorarai Pottru,Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,soorarai pottru drama nedumaaran rajangam maara sets make common man fly process takes world capital intensive industry several enemies stand way sudha kongara suriya madhavan paresh rawal aparna balamurali
21,Interstellar,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,interstellar adventure drama sci fi team explorers travel wormhole space attempt ensure humanity survival christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy
22,Cidade de Deus,"Crime, Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,cidade de deus crime drama slums rio two kids paths diverge one struggles become photographer kingpin fernando meirelles k tia lund alexandre rodrigues leandro firmino matheus nachtergaele
23,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,sen chihiro kamikakushi animation adventure family family move suburbs sullen 10 year old girl wanders world ruled gods witches spirits humans changed beasts hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi
24,Saving Private Ryan,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,saving private ryan drama war following normandy landings group u soldiers go behind enemy lines retrieve paratrooper whose brothers killed action steven spielberg tom hanks matt damon tom sizemore edward burns
25,The Green Mile,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,green mile crime drama fantasy lives guards death row affected one charges black man accused child murder rape yet mysterious gift frank darabont tom hanks michael clarke duncan david morse bonnie hunt
26,La vita è bella,"Comedy, Drama, Romance","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,la vita bella comedy drama romance open minded jewish librarian son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano
27,Se7en,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,se7en crime drama mystery two detectives rookie veteran hunt serial killer uses seven deadly sins motives david fincher morgan freeman brad pitt kevin spacey andrew kevin walker
28,The Silence of the Lambs,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,silence lambs crime drama thriller young f b cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims jonathan demme jodie foster anthony hopkins lawrence bonney kasi lemmons
29,Star Wars,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,star wars action adventure fantasy luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empire world destroying battle station also attempting rescue princess leia mysterious darth vader george lucas mark hamill harrison ford carrie fisher alec guinness
30,Seppuku,"Action, Drama, Mystery","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,seppuku action drama mystery ronin requesting seppuku feudal lord palace told brutal suicide another ronin previously visited reveals pasts intertwined challenges clan integrity masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsur tanba
31,Shichinin no samurai,"Action, Adventure, Drama",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,shichinin samurai action adventure drama poor village attack bandits recruits seven unemployed samurai help defend akira kurosawa toshir mifune takashi shimura keiko tsushima yukiko shimazaki
32,It's a Wonderful Life,"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,wonderful life drama family fantasy angel sent heaven help desperately frustrated businessman showing life would like never existed frank capra james stewart donna reed lionel barrymore thomas mitchell
33,Joker,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,joker crime drama thriller gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings face face alter ego joker todd phillips joaquin phoenix robert de niro zazie beetz frances conroy
34,Whiplash,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,whiplash drama music promising young drummer enrolls cut throat music conservatory dreams greatness mentored instructor stop nothing realize student potential damien chazelle miles teller j k simmons melissa benoist paul reiser
35,The Intouchables,"Biography, Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,intouchables biography comedy drama becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver olivier nakache ric toledano fran ois cluzet omar sy anne le ny
36,The Prestige,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,prestige drama mystery sci fi tragic accident two stage magicians engage battle create ultimate illusion sacrificing everything outwit christopher nolan christian bale hugh jackman scarlett johansson michael caine
37,The Departed,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,departed crime drama thriller undercover cop mole police attempt identify infiltrating irish gang south boston martin scorsese leonardo dicaprio matt damon jack nicholson mark wahlberg
38,The Pianist,"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,pianist biography drama music polish jewish musician struggles survive destruction warsaw ghetto world war ii roman polanski adrien brody thomas kretschmann frank finlay emilia fox
39,Gladiator,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,gladiator action adventure drama former roman general sets exact vengeance corrupt emperor murdered family sent slavery ridley scott russell crowe joaquin phoenix connie nielsen oliver reed
40,American History X,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,american history x drama former neo nazi skinhead tries prevent younger brother going wrong path tony kaye edward norton edward furlong beverly angelo jennifer lien
41,The Usual Suspects,"Crime, Mystery, Thriller","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,usual suspects crime mystery thriller sole survivor tells twisty events leading horrific gun battle boat began five criminals met seemingly random police lineup bryan singer kevin spacey gabriel byrne chazz palminteri stephen baldwin
42,Léon,"Action, Crime, Drama","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,l action crime drama mathilda 12 year old girl reluctantly taken l professional assassin family murdered unusual relationship forms becomes prot g e learns assassin trade luc besson jean reno gary oldman natalie portman danny aiello
43,The Lion King,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,lion king animation adventure drama lion prince simba father targeted bitter uncle wants ascend throne roger allers rob minkoff matthew broderick jeremy irons james earl jones
44,Terminator 2: Judgment Day,"Action, Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,terminator 2 judgment day action sci fi cyborg identical one failed kill sarah connor must protect teenage son john connor advanced powerful cyborg james cameron arnold schwarzenegger linda hamilton edward furlong robert patrick
45,Nuovo Cinema Paradiso,"Drama, Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,nuovo cinema paradiso drama romance filmmaker recalls childhood falling love pictures cinema home village forms deep friendship cinema projectionist giuseppe tornatore philippe noiret enzo cannavale antonella attili isa danieli
46,Hotaru no haka,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,hotaru haka animation drama war young boy little sister struggle survive japan world war ii isao takahata tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara
47,Back to the Future,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,back future adventure comedy sci fi marty mcfly 17 year old high school student accidentally sent thirty years past time traveling delorean invented close friend eccentric scientist doc brown robert zemeckis michael j fox christopher lloyd lea thompson crispin glover
48,Once Upon a Time in the West,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,upon time west western mysterious stranger harmonica joins forces notorious desperado protect beautiful widow ruthless assassin working railroad sergio leone henry fonda charles bronson claudia cardinale jason robards
49,Psycho,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,psycho horror mystery thriller phoenix secretary embezzles 40 000 employer client goes run checks remote motel run young man domination mother alfred hitchcock anthony perkins janet leigh vera miles john gavin
50,Casablanca,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,casablanca drama romance war cynical expatriate american cafe owner struggles decide whether help former lover fugitive husband escape nazis french morocco michael curtiz humphrey bogart ingrid bergman paul henreid claude rains
51,Modern Times,"Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,modern times comedy drama family tramp struggles live modern industrial society help young homeless woman charles chaplin charles chaplin paulette goddard henry bergman tiny sandford
52,City Lights,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,city lights comedy drama romance aid wealthy erratic tippler dewy eyed tramp fallen love sightless flower girl accumulates money able help medically charles chaplin charles chaplin virginia cherrill florence lee harry myers
53,Capharnaüm,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,capharna drama serving five year sentence violent crime 12 year old boy sues parents neglect nadine labaki zain al rafeea yordanos shiferaw boluwatife treasure bankole kawsar al haddad
54,Ayla: The Daughter of War,"Biography, Drama, History","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,ayla daughter war biography drama history 1950 amid st ravages korean war sergeant leyman stumbles upon half frozen little girl parents help sight frantic scared verge death see full summary ulkay erdem etin tekindor ismail hacioglu kyung jin lee
55,Vikram Vedha,"Action, Crime, Drama","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,vikram vedha action crime drama vikram nonsense police officer accompanied simon partner hunt capture vedha smuggler murderer vedha tries change vikram life leads conflict gayatri pushkar madhavan vijay sethupathi shraddha srinath
56,Kimi no na wa.,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,kimi na wa animation drama fantasy two strangers find linked bizarre way connection forms distance thing keep apart makoto shinkai ry nosuke kamiki mone kamishiraishi ry narita aoi ki
57,Dangal,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,dangal action biography drama former wrestler mahavir singh phogat two wrestler daughters struggle towards glory commonwealth games face societal oppression nitesh tiwari aamir khan sakshi tanwar fatima sana shaikh sanya malhotra
58,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,spider man spider verse animation action adventure teen miles morales becomes spider man universe must join five spider powered individuals dimensions stop threat realities bob persichetti peter ramsey rodney rothman shameik moore jake johnson
59,Avengers: Endgame,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,avengers endgame action adventure drama devastating events avengers infinity war 2018 universe ruins help remaining allies avengers assemble order reverse thanos actions restore balance universe anthony russo joe russo robert downey jr chris evans mark ruffalo
60,Avengers: Infinity War,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,avengers infinity war action adventure sci fi avengers allies must willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe anthony russo joe russo robert downey jr chris hemsworth mark ruffalo
61,Coco,"Animation, Adventure, Family","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,coco animation adventure family aspiring musician miguel confronted family ancestral ban music enters land dead find great great grandfather legendary singer lee unkrich adrian molina anthony gonzalez gael garc bernal benjamin bratt
62,Django Unchained,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,django unchained drama western help german bounty hunter freed slave sets rescue wife brutal mississippi plantation owner quentin tarantino jamie foxx christoph waltz leonardo dicaprio kerry washington
63,The Dark Knight Rises,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,dark knight rises action adventure eight years joker reign anarchy batman help enigmatic catwoman forced exile save gotham city brutal guerrilla terrorist bane christopher nolan christian bale tom hardy anne hathaway gary oldman
64,3 Idiots,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,3 idiots comedy drama two friends searching long lost companion revisit college days recall memories friend inspired think differently even rest world called idiots rajkumar hirani aamir khan madhavan mona singh sharman joshi
65,Taare Zameen Par,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,taare zameen par drama family eight year old boy thought lazy trouble maker new art teacher patience compassion discover real problem behind struggles school aamir khan amole gupte darsheel safary aamir khan tisca chopra
66,WALL·E,"Animation, Adventure, Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,wall e animation adventure family distant future small waste collecting robot inadvertently embarks space journey ultimately decide fate mankind andrew stanton ben burtt elissa knight jeff garlin fred willard
67,The Lives of Others,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,lives others drama mystery thriller 1984 east berlin agent secret police conducting surveillance writer lover finds becoming increasingly absorbed lives florian henckel von donnersmarck ulrich martina gedeck sebastian koch ulrich tukur
68,Oldeuboi,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,oldeuboi action drama mystery kidnapped imprisoned fifteen years oh dae su released find must find captor five days chan wook park choi min sik yoo ji tae kang hye jeong kim byeong ok
69,Memento,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,memento mystery thriller man short term memory loss attempts track wife murderer christopher nolan guy pearce carrie anne moss joe pantoliano mark boone junior
