,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
579,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,dhoni untold story biography drama sport untold story mahendra singh dhoni journey ticket collector trophy collector world cup winning captain indian cricket team neeraj pandey sushant singh rajput kiara advani anupam kher disha patani
580,Manchester by the Sea,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,manchester sea drama depressed uncle asked take care teenage nephew boy father dies kenneth lonergan casey affleck michelle williams kyle chandler lucas hedges
581,Under sandet,"Drama, History, War","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,sandet drama history war post world war ii denmark group young german pows forced clear beach thousands land mines watch danish sergeant slowly learns appreciate plight martin zandvliet roland ller louis hofmann joel basman mikkel boe f lsgaard
582,Rogue One,"Action, Adventure, Sci-Fi",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,rogue one action adventure sci fi daughter imperial scientist joins rebel alliance risky move steal plans death star gareth edwards felicity jones diego luna alan tudyk donnie yen
583,Captain America: Civil War,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,captain america civil war action adventure sci fi political involvement avengers affairs causes rift captain america iron man anthony russo joe russo chris evans robert downey jr scarlett johansson
584,The Hateful Eight,"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,hateful eight crime drama mystery dead wyoming winter bounty hunter prisoner find shelter cabin currently inhabited collection nefarious characters quentin tarantino samuel l jackson kurt russell jennifer jason leigh walton goggins
585,Little Women,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,little women drama romance jo march reflects back forth life telling beloved story march sisters four young women determined live life terms greta gerwig saoirse ronan emma watson florence pugh eliza scanlen
586,Loving Vincent,"Animation, Biography, Crime","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,loving vincent animation biography crime story depicted oil painted animation young man comes last hometown painter vincent van gogh robert gulaczyk deliver troubled artist final letter ends investigating final days dorota kobiela hugh welchman douglas booth jerome flynn robert gulaczyk
587,Pride,"Biography, Comedy, Drama",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,pride biography comedy drama u k gay activists work help miners lengthy strike national union mineworkers summer 1984 matthew warchus bill nighy imelda staunton dominic west paddy considine
588,Le passé,"Drama, Mystery","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,le pass drama mystery iranian man deserts french wife two children return homeland meanwhile wife starts new relationship reality husband confronts upon wife request divorce asghar farhadi b r nice bejo tahar rahim ali mosaffa pauline burlet
589,La grande bellezza,Drama,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,la grande bellezza drama jep gambardella seduced way lavish nightlife rome decades 65th birthday shock past jep looks past nightclubs parties find timeless landscape absurd exquisite beauty paolo sorrentino toni servillo carlo verdone sabrina ferilli carlo buccirosso
590,The Lunchbox,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,lunchbox drama romance mistaken delivery mumbai famously efficient lunchbox delivery system connects young housewife older man dusk life build fantasy world together notes lunchbox ritesh batra irrfan khan nimrat kaur nawazuddin siddiqui lillete dubey
591,Vicky Donor,"Comedy, Romance","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,vicky donor comedy romance man brought infertility doctor supply sperm becomes biggest sperm donor clinic shoojit sircar ayushmann khurrana yami gautam annu kapoor dolly ahluwalia
592,Big Hero 6,"Animation, Action, Adventure","A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,big hero 6 animation action adventure special bond develops plus sized inflatable robot baymax prodigy hiro hamada together team group friends form band high tech heroes hall chris williams ryan potter scott adsit jamie chung
593,About Time,"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,time comedy drama fantasy age 21 tim discovers travel time change happens happened life decision make world better place getting girlfriend turns easy might think richard curtis domhnall gleeson rachel mcadams bill nighy lydia wilson
594,English Vinglish,"Comedy, Drama, Family","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,english vinglish comedy drama family quiet sweet tempered housewife endures small slights well educated husband daughter every day inability speak understand english gauri shinde sridevi adil hussain mehdi nebbou priya anand
